Encuesta Mensual de Comercio - EMC;;;;;;;;;;;;;;;;;;;;;
1.2 Índices empalmados de las ventas en valores reales por líneas de mercancía de la EMC - Total nacionalpr;;;;;;;;;;;;;;;;;;;;;
Base 2019 = 100;;;;;;;;;;;;;;;;;;;;;
Enero 2013 - mayo 2023;;;;;;;;;;;;;;;;;;;;;
Fuente: DANE - EMC;;;;;;;;;;;;;;;;;;;;;
"Pr Provisional: Como parte del proceso de producción estadística, el DANE realiza una evaluación continua en cada una de las fases del proceso de recolección, procesamiento y análisis; como consecuencia de este proceso se pueden presentar cambios en la serie histórica por actualización de la información recibida de parte de las fuentes informante.";;;;;;;;;;;;;;;;;;;;;
*Las series de ventas empalmadas corresponden al total sin otros vehículos, debido a que son los datos comparables históricamente porque anteriormente no se publicaba información sobre este tipo de vehículos. Por tanto, solo incluye los vehículos de uso principalmente de los hogares. La series se empalman por el método de retropolación manteniendo las tasas de variación anuales.;;;;;;;;;;;;;;;;;;;;;
La información generada en la EMC incluye tanto las ventas minoristas como mayoristas realizadas por las empresas, la versión anterior (EMCM) incluía solo las ventas minoristas, excepto en lo correspondiente a la venta de repuestos.;;;;;;;;;;;;;;;;;;;;;
"Como parte del proceso de producción estadística, el DANE realiza análisis y actualización continua de la información en cada una de las fases del proceso; como consecuencia de este proceso se presentan cambios en la serie histórica por actualización de la información recibida de parte de las fuentes informantes. ";;;;;;;;;;;;;;;;;;;;;
Actualizado el 14 de julio de 2023;;;;;;;;;;;;;;;;;;;;;
Year;Mes;Total comercio minorista sin otros vehiculos;Total comercio minorista sin vehiculos;Total comercio minorista sin otros vehiculos y sin combustibles;Total comercio minorista sin combustibles ni vehiculos;1. Alimentos (viveres en general) y bebidas no alcoholicas;2. Bebidas alcoholicas, cigarros, cigarrillos y productos del tabaco;3. Prendas de vestir y textiles ;4. Calzado, articulos de cuero y sucedaneos del cuero;5. Productos farmaceuticos y medicinales;6. Productos de aseo personal, cosmeticos y perfumeria;7. Electrodomesticos, muebles para el hogar;8. Articulos y utensilios de uso domestico;9. Productos para el aseo del hogar;10. Equipo de informatica y telecomunicaciones para uso personal o domestico;11. Libros, papeleria, periodicos, revistas y utiles escolares;12. Articulos de ferreteria, vidrios y pinturas;13. Otras mercancias para uso personal o domestico, no especificadas anteriormente;14. Repuestos, partes, accesorios y lubricantes para vehiculos;15. Combustibles para vehiculos automotores;16. Vehiculos automotores y motocicletas principalmente de uso de los hogares*
2013;  Enero;73,1;73,1;70,6;70,3;67,2;52,8;60;70,5;93,6;82,3;77,9;77,6;64,8;39;237,7;68,6;60,5;89,9;85,3;71,7
;  Febrero;70,4;68,1;68,4;65,3;64,6;47,3;51,7;62,2;82,1;76,2;73,1;72,7;59,4;41,1;165;68,6;57,6;84,9;79,9;87,2
;  Marzo;74,9;73,3;73,7;71,6;75,4;61,3;59,1;70,2;91,5;90,4;81,2;90,2;67,3;45,1;72,3;72,5;62,4;79,9;81,9;86
;  Abril;74,3;71,6;71,4;67,6;68,9;49,2;53,4;62,7;90,3;79,1;79,3;67,4;60;39,5;66;71,2;61,2;92,1;88,1;92,9
;  Mayo;76,4;74,7;74,5;72,2;71,3;58,2;68;76,2;91,9;86,3;87,7;75,5;63,9;43,7;73,1;75,8;68,4;91;85,1;87,5
;  Junio;76,4;75,3;74,8;73,2;70,2;68;80,3;84;92,6;90,1;85,2;77,5;66;47,5;59,8;76,2;64,6;87,4;85,4;82,6
;  Julio;80,7;77,7;78,9;74,9;72,4;56,1;72,2;78,4;95,2;88,5;93,3;84,1;65;48,1;78,9;81,9;66,9;94,1;90;102,4
;  Agosto;78,4;76,4;76,5;73,6;73,1;56,6;65,9;75,8;91,2;83,9;89,3;79,8;65,2;52,3;96,6;82,4;68,2;88,4;88,3;93,4
;  Septiembre;76;73,2;74,4;70,7;70;55,3;65,4;76,9;86,5;83,1;80,1;72,3;62,7;43,6;75,1;80,9;66,8;88,9;84,2;96,2
;  Octubre;78,7;75,8;76,4;72,4;70,9;59;65,7;77,9;89,3;84,5;79,1;79,8;63,9;44,4;66;80,7;75,3;94,1;90,1;99,9
;  Noviembre;81,4;78,4;80,9;77,2;71,1;70,1;84,9;93,1;88;90,6;87,9;94,1;64,6;54,5;65,5;86,3;96;92,5;86,5;102,8
;  Diciembre;101,8;102,3;105,9;107,2;88,5;159,4;191,2;205,6;97,5;111,9;112,4;118,4;73,7;80,9;95,7;87,6;137,1;98,2;88,9;96,3
2014;  Enero;77,9;76,3;76,3;74,2;71;51,7;62,3;76;98;85,5;86,9;79,6;70;41,5;235,9;75,4;63,4;95,5;84,8;87,5
;  Febrero;75,4;72,4;73,9;70;68,3;44,4;54,6;66,7;90,2;79,6;83,5;75,7;64,9;44,2;166,3;80,7;59,5;93,1;82,2;97,3
